publisher,title,categories,url
한국경제,전체뉴스,_all_,https://www.hankyung.com/feed/all-news
한국경제,증권,stock,https://www.hankyung.com/feed/finance
한국경제,경제,economy,https://www.hankyung.com/feed/economy
한국경제,부동산,realestate,https://www.hankyung.com/feed/realestate
한국경제,IT,it,https://www.hankyung.com/feed/it
한국경제,정치,politics,https://www.hankyung.com/feed/politics
한국경제,국제,international,https://www.hankyung.com/feed/international
한국경제,사회,society,https://www.hankyung.com/feed/society
한국경제,생활,culture,https://www.hankyung.com/feed/life
한국경제,오피니언,opinion,https://www.hankyung.com/feed/opinion
한국경제,스포츠,sports,https://www.hankyung.com/feed/sports
한국경제,연예,entertainment,https://www.hankyung.com/feed/entertainment
매일경제,전체뉴스,_all_,https://www.mk.co.kr/rss/40300001/
매일경제,헤드라인,_all_,https://www.mk.co.kr/rss/30000001/
매일경제,경제,economy,https://www.mk.co.kr/rss/30100041/
매일경제,증권,stock,https://www.mk.co.kr/rss/50200011/
매일경제,부동산,realestate,https://www.mk.co.kr/rss/50300009/
매일경제,기업경영,industry,https://www.mk.co.kr/rss/50100032/
매일경제,정치,politics,https://www.mk.co.kr/rss/30200030/
매일경제,국제,international,https://www.mk.co.kr/rss/30300018/
매일경제,사회,society,https://www.mk.co.kr/rss/50400012/
매일경제,문화연예,culture|entertainment,https://www.mk.co.kr/rss/30000023/
서울경제,전체뉴스,_all_,https://www.sedaily.com/rss/newsall
서울경제,증권,stock,https://www.sedaily.com/rss/finance
서울경제,부동산,realestate,https://www.sedaily.com/rss/realestate
서울경제,경제,economy,https://www.sedaily.com/rss/economy
서울경제,정치,politics,https://www.sedaily.com/rss/politics
서울경제,사회,society,https://www.sedaily.com/rss/society
서울경제,국제,international,https://www.sedaily.com/rss/international
서울경제,IT,it,https://www.sedaily.com/rss/it
서울경제,오피니언,opinion,https://www.sedaily.com/rss/opinion
서울경제,생활,culture,https://www.sedaily.com/rss/life
서울경제,스포츠,sports,https://www.sedaily.com/rss/sports
서울경제,연예,entertainment,https://www.sedaily.com/rss/entertainment
아시아경제,전체뉴스,_all_,https://www.asiae.co.kr/rss/all.htm
아시아경제,증권,stock,https://www.asiae.co.kr/rss/stock.htm
